date,credit_growth,repo_rate,inflation
2024-01-01,20.3,6.5,5.099150142
2024-02-01,20.5,6.5,5.090497738
2024-03-01,20.16000847,6.5,4.853273137698
2024-04-01,19.21,6.5,4.828747894
2024-05-01,19.79476818,6.5,4.801786711
2024-06-01,17.4,6.5,5.082873
2024-07-01,13.7065968,6.5,3.59635
2024-08-01,13.10878327,6.5,3.651987
2024-09-01,12.34479658,6.5,5.486148832
2024-10-01,11.800082,6.5,6.206152186
2024-11-01,10.6,6.5,5.475040258
2024-12-01,11.2,6.5,5.223479
2025-01-01,11.8,6.5,4.258760108
2025-02-01,11.57696308,6.25,3.606028
2025-03-01,11.025988,6.25,3.336921421
2025-04-01,10.09009446,6.0,3.160149973
2025-05-01,8.964463322,6.0,2.823655
2025-06-01,9.476302022,5.5,2.103049
2025-07-01,10.03597578,5.5,1.606218
2025-08-01,10.11998609,5.5,2.072539
2025-09-01,10.78644019,5.5,1.441813
2025-10-01,11.332816,5.5,0.254065
